	val_nre	test_nre	time
2004	0.2861507318272534	0.30383562536435693	0.0028488636016845703
2005	0.2857674676270228	0.3033885825632822	0.002850055694580078
2006	0.2854145284532515	0.3030261417258413	0.0026819705963134766
2007	0.2850984334091373	0.3026475765899764	0.0019948482513427734
2008	0.2847850135933292	0.30235775833709144	0.002142190933227539
2009	0.28450111005123296	0.30202549166848425	0.0028450489044189453
2010	0.2842626769311797	0.3018367871161939	0.0020079612731933594
2011	0.28425467876814936	0.30180869087196693	0.0028533935546875
2012	0.2841633515129869	0.3016886697466833	0.002012014389038086
2013	0.2836998821014362	0.30129243003678524	0.002825498580932617
2014	0.283288539729162	0.3009001604510831	0.002142190933227539
2015	0.28321866275617463	0.30093148833823585	0.002003908157348633
2016	0.2827548529825366	0.30047553169856794	0.002035856246948242
2017	0.282737500304486	0.3004360126195122	0.002045869827270508
2018	0.2826476313255991	0.3003710429232205	0.002048015594482422
2019	0.2822713129538056	0.2999544814801501	0.0020303726196289062
2020	0.28189164180323784	0.29947007932072406	0.0020530223846435547
2021	0.2814869425222918	0.29902736157198234	0.0020406246185302734
2022	0.2810986902010161	0.29867494794089416	0.0020399093627929688
2023	0.2807472611976778	0.2983435341148213	0.002029895782470703
2024	0.28070301724711494	0.29820033379959937	0.002111673355102539
2025	0.2803424128145816	0.29782513943131783	0.0020492076873779297
2026	0.27996588904536623	0.29742293883228804	0.002039194107055664
2027	0.27958648931392716	0.29699624944148795	0.002031087875366211
2028	0.27950483090516554	0.29695644945405036	0.0020751953125
2029	0.2794031841370614	0.29689628502432236	0.0020821094512939453
2030	0.27898360680375306	0.2965617684407972	0.0020329952239990234
2031	0.27896549097875173	0.29652743210947136	0.0021092891693115234
2032	0.27902789088199714	0.29653946287522676	0.0020439624786376953
2033	0.27881897608411815	0.29632014220356206	0.002051830291748047
2034	0.2787327949897326	0.2962001356799592	0.0020618438720703125
2035	0.2786247310522864	0.2961022032312509	0.0020377635955810547
2036	0.27838772223071	0.29580361443271197	0.0020394325256347656
2037	0.27820285481019574	0.295566966794843	0.0020301342010498047
2038	0.27793418124553704	0.29535661530477136	0.002049684524536133
2039	0.277832435915105	0.29521265952099224	0.0020401477813720703
2040	0.27776368666647755	0.29522060166844716	0.002032041549682617
2041	0.2778850129004323	0.295253478254958	0.0020368099212646484
2042	0.27786121219348003	0.29522899633370137	0.002059459686279297
2043	0.2778820445076113	0.29522924332486145	0.002572774887084961
